Type,Title,Organization,Status,Availability or Year,Geography,Covered States,Coverage Note,Coverage Source URL,Community,Community Type,Best For,Project Stage,Type of Help,Topics,Summary,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,Mountain Association Energy and Lending Support,Mountain Association,Open when checked,Rolling inquiry,Kentucky,,,,,,"Businesses, nonprofits, governments, schools, and commercial energy users",Mixed,Loan,rural business; nonprofit facilities; energy savings; Appalachia,"Offers finance and technical help for eastern Kentucky outdoor, food, lodging, and community facilities.","Energy efficiency loans up to $50,000 at 5% interest with up to 72-month terms",No formal match stated; loan underwriting applies,https://mtassociation.org/energy/,2026-08-11,RERC-FND-0172
Funding,Transportation Alternatives Program,Louisiana Department of Transportation and Development,Recurring,2025 application materials posted; next cycle not yet confirmed,Louisiana,,,,,,local public agencies and eligible sponsors,Mixed,Grant,bike/ped; Safe Routes; scenic; historic transportation,"Supports walking, biking, and trail links between rural town centers and outdoor assets.",varies,typically 80 percent federal; 20 percent local,https://dotd.la.gov/about/office-of-project-delivery/engineering/road-design/transportation-alternatives-program,2026-06-09,RERC-FND-0182
Funding,Louisiana Outdoors Forever,Louisiana Department of Wildlife and Fisheries,Cycle closed,"The 2026 pre-application deadline was January 23, 2026; invited full applications were due May 4, 2026. The next cycle is not announced.",Louisiana,,,,,,public agencies; nonprofits; conservation partners,Mixed,Grant,conservation; habitat; land management; public access,Conservation funding for land.,varies,designed to provide match or leverage for other grants,https://www.wlf.louisiana.gov/page/louisiana-outdoors-forever,2026-07-20,RERC-FND-0181
Funding,Historic Preservation Fund Grants 2026-2027,Louisiana Division of Historic Preservation,Cycle closed,"The 2026 letter-of-interest deadline was April 29. Applications were open May 1-31, 2026.",Louisiana,,,,,,"Local governments, nonprofits, and preservation partners depending on project type",Mixed,Grant,historic preservation; surveys; nominations; heritage interpretation,"Funds heritage documentation and interpretation that can support cultural routes, visitor sites, and downtown reuse.",Amount not stated in reviewed page,Match not stated in reviewed page,https://www.crt.state.la.us/cultural-development/historic-preservation/grants/national-park-service-historic-preservation-fund-grants/index,2026-07-13,RERC-FND-0179
Funding,Community Water Enrichment Fund and Local Government Assistance Program,Louisiana Office of Community Development Local Government Assistance,Available,annual legislative/program cycle,Louisiana,,,,,,local governments,Mixed,Grant,water; sewer; public facilities; local infrastructure,"Water, sewer, and local facility upgrades often unlock visitor-serving recreation and downtown projects.",varies by legislative appropriation,None,https://locd.la.gov/local-government-assistance,2026-06-09,RERC-FND-0640
Funding,LCDBG Make a Difference Program,Louisiana Office of Community Development Local Government Assistance,Available,FY2026 awards announced April 1 2026; future cycle expected,Louisiana,,,,,,units of general local government in eligible areas,Mixed,Grant,comprehensive community development; infrastructure; facilities; revitalization,"Flexible CDBG source for rural downtown, public facility, and infrastructure improvements.",varies; admin request up to $100000,None,https://locd.la.gov/local-government-assistance/cdbg-and-cdbg-cv-programs/make-a-difference-program,2026-06-09,RERC-FND-0641
Funding,Cultural Districts Program,Louisiana Office of Cultural Development,Cycle closed,Letters of interest and applications were closed when checked.,Louisiana,,,,,,local governments; property owners; artists; cultural businesses,Mixed,Rebate,arts; cultural tourism; historic rehab; downtown,"Strengthens cultural districts, art sales, and historic building reuse in visitor corridors.",sales tax exemption for original art; historic rehab credit access varies,no grant match,https://www.crt.state.la.us/cultural-development/arts/cultural-districts/forms-applications/index,2026-07-13,RERC-FND-0178
Funding,Land and Water Conservation Fund,Louisiana Office of State Parks,Recurring,cycle-specific; verify current application packet,Louisiana,,,,,,state and local public agencies,Mixed,Grant,parks; outdoor recreation; public access,"Core capital source for parks, boat launches, playgrounds, trailheads, and outdoor recreation facilities.",varies,typically 50 percent federal,https://www.lastateparks.com/grant-opportunities-for-outdoor-recreation/land-water-conservation,2026-07-13,RERC-FND-0180
Funding,Cooperative Marketing Program FY2026,Louisiana Office of Tourism,Cycle closed,"The 2026 application period closed June 9, 2026.",Louisiana,,,,,,"Louisiana CVBs, tourist commissions, DMOs, and political subdivisions authorized to promote tourism",Implementation,Grant,tourism co-op; events; visitor marketing,Helps rural tourism partners buy media for events and attractions when local budgets are thin.,"Maximum award $10,000",50% match; reimbursement basis,https://www.explorelouisiana.com/industry/cmp-grant,2026-07-13,RERC-FND-0177
Funding,Small Business Loans,"Coastal Enterprises, Inc.",Open when checked,Rolling loan inquiry,Maine,,,,,,Maine entrepreneurs and small businesses,Mixed,Loan,rural business; working waterfront; tourism; food; equipment; real estate,"Can support Maine outdoor recreation, hospitality, food, marine, and local service businesses in rural destinations.",Varies,Repayment required,https://www.ceimaine.org/financing/small-business-loans,2026-06-09,RERC-FND-0193
Funding,Business and Nonprofit Electric Vehicle Rebates,Efficiency Maine,Open when checked,"Limited-time $1,000 bonus expired Apr. 30, 2026; base rebates active per reviewed page",Maine,,,,,,"Businesses, nonprofits, LLCs, partnerships, and similar entities titling vehicles in business name",Implementation,Rebate,EV fleet; clean transportation; shuttle; visitor mobility,"Helps outfitters, shuttle operators, parks partners, and visitor-serving nonprofits reduce fleet costs.","New EV $4,000; used EV $3,000; commercial electric van $12,000-$14,000 with preapproval",Purchase required; lease not eligible,https://www.efficiencymaine.com/electric-vehicle-incentives-for-businesses-and-organizations,2026-06-09,RERC-FND-0183
Funding,Commercial and Industrial Prescriptive Initiatives,Efficiency Maine,Open when checked,Rolling by program and measure,Maine,,,,,,"Businesses, nonprofits, municipalities, schools, higher education, industrial facilities, multifamily with 3+ units, mixed-use buildings",Mixed,Rebate,energy efficiency; heating; cooling; lighting; multifamily; mixed-use,"Lowers operating costs for recreation businesses, inns, restaurants, museums, and municipal visitor facilities.",Measure-based incentives; amount varies,Customer share varies by measure,https://www.efficiencymaine.com/at-work,2026-06-09,RERC-FND-0184
Funding,Commercial and Industrial Prescriptive and Custom Incentives,Efficiency Maine,Open when checked,Ongoing while funds are available,Maine,,,,,,"Commercial, industrial, nonprofit, public, and institutional customers",Mixed,Rebate,"HVAC, lighting, kitchen equipment, custom efficiency, lodging","Lodges, restaurants, outfitters, and public visitor facilities can reduce operating costs.",Measure-specific; custom incentives project-specific,Customer pays remaining cost,https://www.efficiencymaine.com/at-work,2026-06-09,RERC-FND-0185
Funding,Land and Water Conservation Fund,Maine DACF Bureau of Parks and Lands,Cycle closed,"The 2026 deadline was June 26, 2026.",Maine,,,,,,State of Maine; counties; municipalities; school districts; tribal nations,Mixed,Grant,parks; public outdoor recreation; trails; facilities,"Direct funding for parks, trails, waterfront access, and public recreation facilities.",2026 maximum $1000000,up to 50 percent federal,https://www.maine.gov/dacf/parks/grants/land_water_conservation_fund.html,2026-07-13,RERC-FND-0188
Funding,Recreational Trails Program and Maine Trails Program,Maine DACF Bureau of Parks and Lands,Open when checked,2026 applicants directed to Maine Trails Program,Maine,,,,,,municipalities; qualified subdivisions of state government; qualified nonprofits,Mixed,Grant,trails; trail rehabilitation; trail access; motorized; nonmotorized,Builds and repairs the trail networks that drive rural outdoor recreation visitation.,varies,up to 80 percent federal,https://www.maine.gov/dacf/parks/grants/recreational_trails_program.shtml,2026-06-09,RERC-FND-0192
Funding,Land for Maine's Future,"Maine Department of Agriculture, Conservation and Forestry",Open when checked,Board meetings and funding opportunities announced by LMF,Maine,,,,,,"State, local, land trust, and conservation partners",Mixed,Financing,land conservation; public access; working lands; trails,Conserves lands and public access assets that support outdoor recreation economies.,Varies by project and available bond or appropriation funding,Matching funds encouraged and commonly required,https://www.maine.gov/dacf/lmf,2026-06-09,RERC-FND-0189
Funding,Maine CDBG Program,Maine Department of Economic and Community Development,Open when checked,2026 Program Statement governs current cycles,Maine,,,,,,eligible units of general local government,Mixed,Grant,downtown revitalization; public infrastructure; housing; economic development,"Funds downtown, infrastructure, and community development projects for rural visitor centers.",varies by CDBG program; downtown revitalization commonly up to $1000000,varies,https://www.maine.gov/decd/community-development/cdbg-program/statement,2026-06-09,RERC-FND-0190
Funding,Maine Outdoor Heritage Fund,Maine Department of Inland Fisheries and Wildlife; MOHF Board,Recurring,semiannual grant rounds,Maine,,,,,,proposals submitted through authorized natural resource agency representatives,Mixed,Grant,conservation; public lands; outdoor recreation; access,"Supports public lands, access, habitat, and outdoor recreation sites that attract visitors.",varies; more than $28M awarded since inception,no required match; 1/3 cash match receives priority,https://www.maine.gov/ifw/programs-resources/grants/outdoor-heritage-fund.html,2026-06-09,RERC-FND-0191
Funding,Historic Community Buildings Grant Program,Maine Historic Preservation Commission,Recurring,Updated May 2026; applications generally available late winter,Maine,,,,,,"State agencies, counties, municipalities, educational institutions, and private nonprofits; property must meet program criteria",Mixed,Grant,historic buildings; downtown rehab; heritage tourism,Supports historic civic and visitor-facing buildings in rural downtowns and heritage corridors.,"$10,000-$30,000",75:25 match for Historic Preservation Grants; CLG grants require dollar-for-dollar nonfederal match,https://www.maine.gov/mhpc/programs/grants,2026-06-09,RERC-FND-0187
Funding,Community Resilience Partnership Community Action Grants,Maine Office of Community Affairs,Cycle closed,"The 2026 deadline was June 19, 2026.",Maine,,,,,,enrolled municipalities; tribal governments; plantations; townships; unorganized territories,Mixed,Grant,resilience; energy; bike/ped; culverts; flooding; municipal facilities,Funds resilience and access upgrades that protect rural recreation assets from storms and flooding.,$5000 to $75000 individual; up to $175000 group; $5.25M round,no match stated,https://www.maine.gov/future/climate/community-resilience-partnership,2026-07-13,RERC-FND-0186
Funding,Community Resilience Partnership Service Provider Grants,Maine Office of Community Affairs,Available,due June 19 2026,Maine,,,,,,service provider organizations assisting groups of communities,Mixed,Grant,capacity; climate planning; grant readiness; regional assistance,Adds planning capacity for small towns that lack staff to package recreation-resilience projects.,varies by track,None,https://www.maine.gov/future/climate/community-resilience-partnership,2026-06-09,RERC-FND-0642
Funding,Recreational Trails Program,Maryland DOT,Recurring,Check with the program,Maryland,,,,,,"State and local government agencies, nonprofits, and trail organizations in Maryland",Construction,Grant,Recreation; Conservation; Energy/Climate,"Develops and maintains recreational trails for non-motorized and motorized trail users; trail construction, maintenance, restoration, and safety improvements.","Up to $250,000 per project (80% federal / 20% local match)",Yes,https://www.fhwa.dot.gov/environment/recreational_trails,2026-06-09,RERC-FND-0204
Funding,Transportation Alternatives Program,Maryland DOT,Recurring,Check with the program,Maryland,,,,,,"State and local governments, transit agencies, MPOs, and natural resource agencies in Maryland",Construction,Grant,Infrastructure; Recreation; Conservation; Historic/Cultural; Energy/Climate,"Funds non-motorized transportation alternatives: pedestrian/bike infrastructure, scenic byways, historic preservation, environmental mitigation, recreational trails connecting communities.","Varies; federal aid program; projects typically $200,000-$2M (80/20 federal/local match)",Yes,https://www.fhwa.dot.gov/environment/transportation_alternatives,2026-06-09,RERC-FND-0206
Funding,Community Legacy,Maryland Department of Housing and Community Development,Recurring,annual State Revitalization Program cycle,Maryland,,,,,,local governments; community development organizations; nonprofits in Sustainable Communities,Mixed,Loan,revitalization; main street; mixed-use; placemaking; redevelopment,Supports downtown and neighborhood revitalization that makes rural visitor districts investable.,varies,varies,https://dhcd.maryland.gov/Communities/Pages/programs/default.aspx,2026-06-09,RERC-FND-0195
Funding,Community Legacy Program,Maryland Department of Housing and Community Development,Recurring,Check with the program,Maryland,,,,,,Maryland municipalities and counties designated as Community Legacy Areas; local governments,Planning,Grant,Infrastructure; Economic Development; Planning; Conservation; Housing; Energy/Climate,"Revitalizes established communities through business retention, housing rehab, streetscape improvements, and community anchors; funds community reinvestment projects.","Typically $50,000-$500,000 per jurisdiction per cycle",Partial,https://dhcd.maryland.gov/Communities/Pages/programs/default.aspx,2026-06-09,RERC-FND-0196
Funding,Maryland Community Development Block Grant Program,Maryland Department of Housing and Community Development,Recurring,annual CDBG cycle,Maryland,,,,,,non-entitlement counties and municipalities,Mixed,Grant,infrastructure; housing; economic development; public facilities,Funds core infrastructure and community facilities needed by rural recreation gateway towns.,varies,varies,https://dhcd.maryland.gov/Communities/Pages/programs/default.aspx,2026-06-09,RERC-FND-0201
Funding,Operating Assistance Grant,Maryland Department of Housing and Community Development,Available,Available online,Maryland,,,,,,Maryland nonprofit community development organizations and CDCs,Construction,Grant,Economic Development; Conservation; Housing; Energy/Climate,"Provides operating support to Maryland nonprofit community development organizations working on housing, economic development, and community revitalization.",Varies; typically small operating support grants for community development organizations,None,https://dhcd.maryland.gov/Communities/Pages/programs/default.aspx,2026-06-09,RERC-FND-0643
Funding,Sustainable Communities Program,Maryland Department of Housing and Community Development,Recurring,Check with the program,Maryland,,,,,,Municipalities and counties designated as Maryland Sustainable Communities; development projects within those areas,Planning,Grant,Infrastructure; Economic Development; Planning; Conservation; Housing; Energy/Climate,"Revitalizes designated communities through coordinated investment in housing, transportation, economic development, and green infrastructure; promotes livability and sustainability.",Varies; tax credits and targeted investment in designated Sustainable Communities,Partial,https://dhcd.maryland.gov/Communities/Pages/programs/default.aspx,2026-06-09,RERC-FND-0205
Funding,Community Parks and Playgrounds Program,Maryland Department of Natural Resources,Cycle closed,FY2027 application period closed; future cycle expected,Maryland,,,,,,municipal corporations and Baltimore City,Mixed,Grant,parks; playgrounds; green space; older neighborhoods,Rehabilitates or creates parks and playgrounds that support resident quality of life and visitor appeal.,FY2026 budget includes $5000000 for 26 projects,no match stated,https://dnr.maryland.gov/land/pages/programopenspace/cpp.aspx,2026-06-09,RERC-FND-0197
Funding,Kim Lamphier Bikeways Network Program,Maryland Department of Transportation,Recurring,annual MDOT grant cycle,Maryland,,,,,,local jurisdictions and public sponsors,Mixed,Grant,bicycle infrastructure; planning; design; construction,"Helps small towns build bike networks that connect downtowns, trails, parks, and lodging.",varies,varies by solicitation,https://mdot.maryland.gov/tso/pages/Index.aspx?PageId=218,2026-06-09,RERC-FND-0199
Funding,Transportation Alternatives Program and Recreational Trails Program,Maryland Department of Transportation State Highway Administration,Recurring,annual MDOT/SHA call; FFY2026 awards posted,Maryland,,,,,,local governments; state agencies; eligible trail sponsors,Mixed,Grant,bike/ped; trails; Safe Routes; community transportation,"Funds trail systems, bike/ped links, and visitor access improvements.",varies; FFY2026 awards posted,typically 80 percent federal; 20 percent match,https://onestop.md.gov/forms/mdot-tap-rtp-fy25-65fad4f292ba2000dfd805b8,2026-06-09,RERC-FND-0207
Funding,Commercial and Industrial Grant Program,Maryland Energy Administration,Recurring,"FY26 deadline Jan. 30, 2026; FY27 expected around Sep. 2026",Maryland,,,,,,"Maryland commercial, industrial, data center, nonprofit, federal, and agricultural facilities",Mixed,Rebate,energy efficiency; commercial facilities; nonprofits; agricultural facilities,Helps visitor-serving facilities lower operating costs and modernize buildings.,"FY2026 budget $8,400,000; max $200,000; up to 50% of eligible project cost; some low-income-serving facilities up to 100%",Project cost share generally required after other incentives,https://energy.maryland.gov/business/Pages/incentives/empowermdcigp.aspx,2026-06-09,RERC-FND-0194
Funding,Keep Maryland Beautiful Grants,Maryland Environmental Trust; Maryland DNR; MDOT; Maryland Department of Agriculture; Chesapeake Bay Trust,Recurring,"2026 applications due Dec. 1, 2025",Maryland,,,,,,"Volunteer groups, nonprofits, communities, schools, local governments, and land trusts",Mixed,Grant,land trusts; stewardship; environmental education; community greening,"Supports land trusts, rural stewardship, and natural-resource protection connected to outdoor recreation assets.","2026 round about $357,000 total; Community Stewardship Grants $47,000 available",Varies by subprogram; not stated in reviewed release,https://news.maryland.gov/dnr/2025/09/15/keep-maryland-beautiful-grant-applications-now-being-accepted-for-2026,2026-06-09,RERC-FND-0198
Funding,Maryland Heritage Areas Authority Grants,Maryland Heritage Areas Authority; Maryland Historical Trust,Recurring,Annual cycle; verify current FY deadline with heritage area management entity,Maryland,,,,,,"Local governments, nonprofits, and heritage-area partners with eligible projects in certified heritage areas",Mixed,Grant,heritage tourism; interpretation; capital; noncapital; planning,"Supports heritage trails, visitor interpretation, historic sites, and destination infrastructure.","Generally up to $100,000 for capital or noncapital grants; mini-grants smaller",Generally 1:1 match,https://mht.maryland.gov/Documents/grants/Grants_MHAA_Guidelines.pdf,2026-06-09,RERC-FND-0202
Funding,Maryland Heritage Areas Authority Project Grants,Maryland Historical Trust; Maryland Heritage Areas Authority,Recurring,annual MHAA cycle,Maryland,,,,,,nonprofits; local jurisdictions; state and federal agencies; heritage area partners,Mixed,Grant,heritage tourism; museums; trails; interpretation; historic preservation,"Directly funds heritage tourism, trail interpretation, visitor experiences, and cultural assets.",commonly up to $100000 for project grants,generally 1:1 match,https://mht.maryland.gov/planning-protection/maryland-heritage-areas-program/maryland-heritage-areas-program-project-grants,2026-06-09,RERC-FND-0203
Funding,MAERDAF and Rural Maryland Prosperity Investment Fund Grants,Rural Maryland Council,Cycle closed,"The FY2027 full application deadline was July 10, 2026.",Maryland,,,,,,"Rural-serving nonprofits and organizations promoting statewide or regional rural planning, economic development, community development, agriculture, and forestry education",Mixed,Grant,rural economic development; entrepreneurship; infrastructure; agriculture; forestry education,"Flexible rural funding can support recreation-economy planning, entrepreneurship, and community infrastructure.","FY2027 rural funding total $6,047,464; individual awards vary",Not stated in reviewed source,https://rural.maryland.gov/grant-opportunities,2026-07-13,RERC-FND-0200
Funding,Business Rebates and Incentives,Mass Save,Open when checked,Ongoing by equipment form and sponsor,Massachusetts,,,,,,Business customers of participating Mass Save sponsors,Implementation,Rebate,"HVAC, foodservice, lodging, refrigeration, controls","Rural inns, motels, restaurants, and municipal facilities can lower energy costs.",Measure-specific,Customer pays remaining cost,https://www.masssave.com/en/business/rebates-and-incentives,2026-06-09,RERC-FND-0208
Funding,Mass Save Business Rebates and Incentives,Mass Save Sponsors,Open when checked,Ongoing by measure and funding availability,Massachusetts,,,,,,Businesses and commercial properties served by participating utilities,Mixed,Rebate,"energy efficiency, lodging, restaurants, commercial buildings","Reduces operating costs for rural tourism businesses, outfitters, restaurants, lodging, and community facilities.",Varies by technology,Not applicable,https://www.masssave.com/en/business/rebates-and-incentives,2026-06-09,RERC-FND-0209
Funding,Rural Development Fund,Massachusetts Executive Office of Economic Development,Cycle closed,"FY27 One Stop round closed June 3, 2026",Massachusetts,,,,,,Rural or small-town municipalities and public entities,Mixed,Grant,"rural infrastructure, community development, economic development",Funds small-town infrastructure and development work that can support recreation economy project readiness.,$10M FY2026 and $10M FY2027 capital authorization,Not stated,https://budget.digital.mass.gov/capital/fy26/beneficiary-agency/economic-development/eo-of-economic-development/d038,2026-06-09,RERC-FND-0210
Funding,Land and Water Conservation Fund Grants,Michigan DNR,Recurring,April 1 annual DNR recreation grant cycle,Michigan,,,,,,Local units of government and eligible public recreation providers,Mixed,Grant,parks; trails; outdoor recreation; acquisition; development,Funds public outdoor recreation assets central to rural recreation economies.,"Commonly $30,000 to $500,000; guideline controls",50% match,https://www.michigan.gov/dnr/buy-and-apply/grants/rec/lwcf,2026-06-09,RERC-FND-0212
Funding,Michigan Natural Resources Trust Fund,Michigan DNR,Recurring,April 1 annually; recreation plans due February 1,Michigan,,,,,,State and local units of government; eligible recreation authorities; some school districts,Mixed,Grant,parks; trails; land acquisition; public outdoor recreation,"Major Michigan source for community parks, trail systems, waterfront access, and conservation.","$15,000 to $400,000 for development; no stated cap for acquisition",Minimum 25% local match typical; verify guidelines,https://www.michigan.gov/dnr/buy-and-apply/grants/rec/mnrtf,2026-06-09,RERC-FND-0215
Funding,Recreation Passport Grant Program,Michigan DNR,Recurring,April 1 annually; 2026 round opened early 2026,Michigan,,,,,,Local units of government with approved recreation plan,Mixed,Grant,local parks; recreation facilities; accessibility; park improvements,Funds small-town park improvements that improve visitor and resident recreation.,"$7,500 to $150,000 typical",25% minimum typical,https://www.michigan.gov/dnr/about/newsroom/releases/2025/12/09/dnr-approves-recreation-grants-for-local-parks,2026-06-09,RERC-FND-0218
Funding,Waterways Grant-in-Aid Program,Michigan DNR Parks and Recreation Division,Cycle closed,"The 2026 awards were announced May 27, 2026; watch for the next annual round.",Michigan,,,,,,Local units of government and eligible harbor or boating access sponsors,Mixed,Grant,boating; harbors; marinas; water access; dredging,"Water access and harbors drive fishing, paddling, marina, and waterfront tourism.",FY2026 awards totaled about $4.0 million; project amounts vary,Local match required; project-specific,https://www.michigan.gov/dnr/buy-and-apply/grants/rec/waterways,2026-07-13,RERC-FND-0220
Funding,Michigan Coastal Management Program Grants,"Michigan Department of Environment, Great Lakes, and Energy",Available,FY2027 funding opportunity listed on program information,Michigan,,,,,,"Coastal communities, nonprofits, Tribal Nations, public partners",Mixed,Grant,"coastal access, eco-tourism, resilience, coastal habitat","Funds Great Lakes public access, coastal eco-tourism, hazard mitigation, and resilient waterfront economies.",Varies,None,https://www.michigan.gov/coastalmanagement,2026-06-09,RERC-FND-0645
Funding,Fisheries Habitat Grant Program,Michigan Department of Natural Resources,Recurring,"2026 full applications were due January 23, 2026",Michigan,,,,,,"Local, state, federal, and Tribal governments; academic institutions; nonprofits",Mixed,Grant,"fisheries habitat, dam removal, aquatic access, conservation","Improves fishing resources, aquatic habitat, and water-based recreation assets.","Minimum $25,000; up to available theme funds, cited up to $1.5M",10% minimum,https://www.michigan.gov/dnr/buy-and-apply/grants/aq-wl/fish-hab,2026-06-09,RERC-FND-0211
Funding,Wildlife Habitat Grant Program,Michigan Department of Natural Resources,Cycle closed,"The 2026 application deadline was June 25, 2026.",Michigan,,,,,,"Government units, Tribal governments, for-profit and nonprofit organizations",Mixed,Grant,"wildlife habitat, grasslands, wetlands, connectivity","Supports habitat work that can strengthen hunting, birding, nature tourism, and conserved-land stewardship.","$50,000 to $500,000",10% minimum,https://www.michigan.gov/dnr/buy-and-apply/grants/aq-wl/wildlife-hab,2026-07-13,RERC-FND-0221
Funding,Coastal Planning and Construction Grants,Michigan EGLE Coastal Management Program,Available,Annual GFO; 2026 awards posted,Michigan,,,,,,Coastal local governments; nonprofits; universities; Tribal Nations,Mixed,Grant,coastal access; eco-tourism; resilient waterfronts; habitat; maritime heritage,"Helps coastal towns improve public access, waterfront resilience, and eco-tourism assets.","Planning $10,000 to $75,000; low-cost construction $10,000 to $200,000",None,https://www.michigan.gov/egle/regulatory-assistance/funding/wrd/planning-and-construction-grants,2026-06-09,RERC-FND-0644
Funding,Match on Main,Michigan Economic Development Corporation,Recurring,"2026 window March 1 to April 24, 2026",Michigan,,,,,,Eligible RRC or Michigan Main Street applicant organizations applying for selected businesses,Implementation,Grant,downtown business; outdoor space activation; facade-adjacent improvements; marketing,Helps recreation towns convert visitors into spending at local downtown businesses.,"Up to $25,000 per project",No fixed match stated; private investment expected,https://www.miplace.org/small-business/match-on-main,2026-06-09,RERC-FND-0213
Funding,Public Spaces Community Places,Michigan Economic Development Corporation with MML and Patronicity,Open when checked,Rolling project campaigns,Michigan,,,,,,Municipalities; nonprofits; community groups,Implementation,Grant,placemaking; public spaces; parks; plazas; accessibility; public art,"Funds the public spaces, trailhead plazas, murals, and gathering places that convert recreation traffic into downtown spending.","Up to $50,000 MEDC match; up to $75,000 with universal design extension",1:1 crowdfunding match,https://www.miplace.org/programs/public-spaces-community-places/guidelines,2026-06-09,RERC-FND-0217
Funding,Michigan Humanities Grants,Michigan Humanities,Recurring,Regular grant cycles; verify current deadline,Michigan,,,,,,"Cultural, educational, and community-based organizations",Mixed,Grant,heritage; interpretation; museums; culture; public programming,"Supports local stories, museums, interpretive trails, and heritage tourism.","Up to $20,000",Unsure,https://www.michiganhumanities.org/humanities-grants,2026-06-09,RERC-FND-0214
Funding,Michigan Saves Commercial Loans,Michigan Saves,Open when checked,"Ongoing, lender-based",Michigan,,,,,,Commercial and municipal customers,Construction,Loan,"energy efficiency, renewable energy, municipal facilities, commercial buildings","Provides low-cost capital for energy upgrades at tourism businesses, public facilities, and nonprofit recreation assets.","$5,000 to $450,000,000 depending lender",Not applicable,https://michigansaves.org/commercial-loans,2026-06-09,RERC-FND-0216
Funding,Small Business Loans and Consulting,Venture North Funding and Development,Open when checked,Rolling loan and consulting inquiry,Michigan,,,,,,Northwest Michigan small business owners not qualifying for bank financing,Mixed,Loan,rural entrepreneurship; shoreline communities; small business expansion,"Supports recreation-adjacent businesses in northern Michigan trail, lake, and downtown tourism communities.",Varies,Repayment required,https://www.venturenorthfunding.org/home,2026-06-09,RERC-FND-0219
Funding,Parks and Trails Legacy Grant Program,Greater Minnesota Regional Parks and Trails Commission with Minnesota DNR administration,Recurring,Annual GMRPTC process; legislative appropriation cycle,Minnesota,,,,,,Counties and cities with regionally significant parks or trails,Mixed,Grant,regionally significant parks; trails; outdoor recreation,Designed for Greater Minnesota regional parks and trails that draw visitors.,Varies by legislative recommendation,Varies,https://www.dnr.state.mn.us/grants/recreation/pt_legacy.html,2026-06-09,RERC-FND-0228
Funding,"Rural Needs and Economic, Community and Workforce Development Grants",Initiative Foundation and partners,Cycle closed,"The listed Rural Needs round ended June 30, 2026; check for another 2026 cycle.",Minnesota,,,,,,Central Minnesota nonprofits and eligible organizations,Mixed,Grant,"rural needs, economic development, workforce, community capacity","Funds rural pilots, planning, and community capacity that can support recreation-economy businesses and amenities.",Varies,Not stated,https://ifound.org/grants/grants-available,2026-07-13,RERC-FND-0230
Funding,Environment and Natural Resources Trust Fund,Legislative-Citizen Commission on Minnesota Resources,Recurring,Annual LCCMR RFP and legislative appropriation cycle,Minnesota,,,,,,"Public agencies, nonprofits, universities, local partners, Tribal partners depending RFP",Mixed,Grant,"conservation, education, outdoor recreation, natural resources","Supports nonstandard conservation, education, parks, trails, nature access, and outdoor recreation projects.",FY2027 appropriations listed at about $102M,Not stated,https://www.lccmr.mn.gov/projects/2026/2026_appropriations_by_subdivision.html,2026-06-09,RERC-FND-0224
Funding,Clean Water Legacy Partners Grant Program,Minnesota Board of Water and Soil Resources,Recurring,"FY27 RFP open February 18 to May 19, 2026",Minnesota,,,,,,Eligible partner organizations and local governments,Mixed,Grant,"clean water, partnerships, habitat, watershed restoration","Helps protect rivers, lakes, wetlands, and water quality that underpin paddling, fishing, and lake-based tourism.",Varies,See RFP,https://bwsr.state.mn.us/node/10516,2026-06-09,RERC-FND-0223
Funding,Business Energy Efficiency Grant Program,"Minnesota Chamber Environmental Sustainability Foundation, Energy Smart",Open when checked,"Applications close November 16, 2026",Minnesota,,,,,,Xcel Energy or CenterPoint Energy commercial or industrial customers; Minnesota Chamber members,Mixed,Rebate,"energy efficiency, commercial buildings, restaurants, lodging",Reduces energy project costs for small businesses and visitor-serving facilities.,"Up to $5,000; up to $7,000 for Minnesota Chamber members",Tied to utility rebate; LED projects half rebate or 60% in EJ areas; other projects 4x or 5x rebate,https://d15k2d11r6t6rl.cloudfront.net/pub/bfra/la2h29b2/cow/hmm/ywv/2026%20Grant%20information.pdf,2026-06-09,RERC-FND-0222
Funding,Federal Recreational Trail Program,Minnesota DNR,Recurring,"2026 deadline was February 27, 2026",Minnesota,,,,,,"Units of government, preferably with local trail organizations",Mixed,Grant,trails; trailheads; equipment; maintenance; accessibility,Direct trail development and maintenance funding for recreation-economy communities.,"$2,500 to $200,000 trail grants; up to $75,000 equipment",Match required; verify 2026 manual,https://www.dnr.state.mn.us/rfp,2026-06-09,RERC-FND-0225
Funding,Local Trail Connections Program,Minnesota DNR,Recurring,"2026 deadline was March 31, 2026",Minnesota,,,,,,Counties; cities; townships,Mixed,Grant,local trail links; parks; downtown connections; access,"Connects residents and visitors between lodging, downtowns, parks, trails, and historic areas.","$5,000 to $250,000",25% non-state cash match,https://www.dnr.state.mn.us/grants/recreation/trails_local.html,2026-06-09,RERC-FND-0226
Funding,Outdoor Recreation Grant Program,Minnesota DNR,Cycle closed,"2026 round closed March 31, 2026",Minnesota,,,,,,Cities; counties; townships,Mixed,Grant,parks; outdoor recreation; playgrounds; sports; public access,Funds close-to-home recreation infrastructure for rural towns.,"$50,000 to $500,000",50% implied by total project thresholds; verify manual,https://www.dnr.state.mn.us/grants/recreation/outdoor_rec/outdoor-recreation-grant-program-documents.html,2026-06-09,RERC-FND-0227
